Date,BTC Open,BTC Close,ETH Open,ETH Close,LTC Open,LTC Close,XRP Open,XRP Close,USDT Open,USDT Close
7/27/2018,7975.8,8141.41,465,469.11,83.63,84.17,0.4505,0.454,0.9995,0.9999
7/26/2018,8098.99,7975.8,466,465,85.74,83.63,0.4551,0.4505,0.997,0.9995
7/25/2018,8358.42,8098.99,474,466,88.74,85.74,0.4552,0.4551,0.999,0.997
7/24/2018,7740.62,8358.42,451.6,474,81.65,88.74,0.4477,0.4552,0.9987,0.999
7/23/2018,7405.8,7740.62,457.48,451.6,82.55,81.65,0.45,0.4477,0.9987,0.9987
7/22/2018,7406.4,7405.8,461.42,457.48,83.35,82.55,0.455,0.45,0.9977,0.9987
7/21/2018,7388.16,7406.4,450.14,461.42,82.04,83.35,0.448,0.455,0.9987,0.9977
7/20/2018,7427.1,7388.16,467.8,450.14,85.88,82.04,0.4749,0.448,0.998,0.9987
7/19/2018,7344.9,7427.1,477.82,467.8,86.19,85.88,0.4854,0.4749,0.997,0.998
7/18/2018,7297.9,7344.9,494.55,477.82,87.91,86.19,0.5021,0.4854,0.9999,0.997
7/17/2018,6675,7297.9,473.32,494.55,83.19,87.91,0.4788,0.5021,0.9987,0.9999
7/16/2018,6369,6675,448.51,473.32,78.71,83.19,0.4468,0.4788,0.9998,0.9987
7/15/2018,6280,6369,436.52,448.51,76.81,78.71,0.4425,0.4468,0.9986,0.9998
7/14/2018,6264.81,6280,434.51,436.52,77,76.81,0.4424,0.4425,0.9985,0.9986
7/13/2018,6293.2,6264.81,433.47,434.51,77.33,77,0.442,0.4424,0.9988,0.9985
7/12/2018,6413.23,6293.2,446.84,433.47,78.63,77.33,0.4515,0.442,0.9976,0.9986
7/11/2018,6372.44,6413.23,437.12,446.84,76.54,78.63,0.4481,0.4515,0.9988,0.9976
7/10/2018,6695.4,6372.44,476.2,437.12,80.66,76.54,0.478,0.4481,0.9999,0.9988
7/9/2018,6714.5,6695.4,485.16,476.2,82.21,80.66,0.4776,0.478,0.9981,0.9999
7/8/2018,6752.39,6714.5,483.65,485.16,84.45,82.21,0.485,0.4776,0.9999,0.9981
7/7/2018,6627.52,6752.39,471.28,483.65,83.6,84.45,0.4793,0.485,0.9988,0.9999
7/6/2018,6584.8,6627.52,470.39,471.28,84.03,83.6,0.4837,0.4793,0.9999,0.9988
7/5/2018,6608.27,6584.8,469.49,470.39,85.73,84.03,0.4937,0.4837,0.999,0.9999
7/4/2018,6530.59,6608.27,464.36,469.49,84.96,85.73,0.4862,0.4937,0.999,0.999
7/3/2018,6560.1,6530.59,472.9,464.36,84.98,84.96,0.4841,0.4862,0.999,0.999
7/2/2018,6324.94,6560.1,448.81,472.9,79.5,84.98,0.4585,0.4841,0.9995,0.999
7/1/2018,6358.5,6324.94,448.45,448.81,80.81,79.5,0.4653,0.4585,0.9989,0.9995
